N,P,K,temperature,humidity,ph,rainfall,label
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice
95,56,39,23.939071628914455,81.3578226846189,6.329816889123739,239.5393052656744,rice
31,78,22,24.2853169721526,24.985625127498565,5.640034766306414,112.45280811880185,kidneybeans
46,69,83,19.419040783637566,17.30423008398143,7.523213599768731,82.93137556110811,chickpea
115,64,50,26.262444251292855,76.6910806912529,6.01122590703227,100.20329912200607,banana
23,142,208,23.39301602259689,92.10464753185111,6.074546240162779,119.20350723363508,apple
100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,coffee
19,53,22,27.8640132,80.4513142,6.852884642999999,42.83053902,mungbean
26,81,18,30.04676310151233,51.470092253524385,5.50616145851981,76.67871809091655,pigeonpeas
106,25,31,25.994458195052175,56.7627273133957,6.831873529530396,176.9675718166628,coffee
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil
88,52,39,23.303667085427417,81.35757601346272,7.22303906282451,189.9298487266406,jute
16,21,38,24.2741591806145,87.89089530348727,5.967283124202366,113.05390022926976,pomegranate
6,68,18,24.388717,62.50453062,6.711341147000001,47.26052494,lentil
19,24,15,20.48954522,93.72485075,7.137136973,111.83919509999998,orange
34,69,83,18.114149915296377,19.742868713488022,7.56985390393429,71.20918758243698,chickpea
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
38,38,18,26.31051759,61.18749126,6.294130312999999,35.73403813,mothbeans
84,53,19,21.054945590465437,69.95870522959748,6.715029778111731,55.95735969419064,maize
26,25,23,27.762993367414047,84.63906399709498,6.451154606324363,41.11120987355398,mungbean
34,66,17,18.81097271,21.27833035,5.889614577000001,125.084915,kidneybeans
9,8,15,14.34320488,94.35734702,7.994465371,110.22231229999998,orange
36,59,46,34.28879307,93.61082872,6.721130542999999,127.2509777,papaya
4,58,17,21.652610338857407,35.249706286465944,6.2156736828846055,96.54487733935842,pigeonpeas
48,68,22,30.142770859925736,66.8114505605682,7.2202969018322385,63.78478692374082,blackgram
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
95,92,54,27.980298119659516,79.04323405481011,6.488612615943414,88.48620531810877,banana
39,60,85,19.039506944152212,16.379383593637893,6.859375826603776,83.88824370800907,chickpea
30,10,31,24.258235110259104,93.50046379762611,6.002880124268175,172.0257483408323,coconut
11,32,34,25.336940685031095,50.20054430034718,6.588988418774543,97.24675034732347,mango
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
50,60,51,29.094361475990752,91.45818354363486,6.6356359136891685,67.10956489412075,papaya
82,51,38,23.56860626863848,77.5067839808997,7.070306961018118,195.98978328289223,jute
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,coffee
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil
48,127,200,23.004384295041433,81.63444832771387,5.865174598201641,76.80813154237713,grapes
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango
8,14,29,28.220278805173844,97.15337196010725,6.448002605745226,163.86403826224262,coconut
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
92,87,51,26.237565747331235,82.99283835428761,6.250296854971958,105.06117195672594,banana
26,46,20,29.34172195424726,62.05085027771326,5.678165376600194,59.834436976317505,mothbeans
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,pigeonpeas
29,127,200,16.61952836979286,81.79965942168921,6.009023048967442,70.85779469615161,grapes
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea
83,55,20,24.269547714422814,67.52667350134755,6.649723227833884,75.42741632194577,maize
100,13,46,24.07782428916597,86.28025689223328,6.6647617226357125,57.382692801376564,watermelon
117,75,51,23.119676294508007,82.67612794691138,6.258173735094244,80.2924593613545,banana
27,117,203,36.924186403663896,85.22951522208825,6.20877836344957,66.56272481706468,grapes
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
37,11,36,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
19,45,17,28.746885874038618,56.05278226947003,7.67265632764088,55.131020021638676,mothbeans
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965,mungbean
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
24,45,19,26.85851927,48.8246387,5.9523849570000005,34.7426459,mothbeans
5,62,23,27.9348279,66.45457122,4.722222454,145.3728801,pigeonpeas
19,125,203,24.02343936060505,92.63610137938542,6.0706891223972566,115.12726209914425,apple
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut
14,32,26,30.376353148410224,52.94567267412494,4.265731343156725,93.4214247764136,mango
17,14,9,33.13824687938073,93.74052774113332,7.272511948499137,109.32447444826397,orange
23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,coconut
110,12,55,29.438935465577735,93.60159337582395,6.32547814686277,27.426747657270987,muskmelon
33,68,84,18.898721660123325,13.866919387167618,7.2410285860617,78.76019671008011,chickpea
89,48,43,24.202232944117586,91.30961123245059,6.215908668089178,142.56088305518358,jute
23,71,17,16.387765278749942,59.39928104266609,6.669114420654463,47.48752023134308,lentil
13,15,31,25.33385099075982,96.75853966346536,6.176669783648271,166.5837959789664,coconut
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,muskmelon
64,58,48,39.49005838216259,92.91130725509564,6.774082039406146,160.89873761507172,papaya
117,25,54,28.68275966,92.50969311,6.150686363999999,29.11187663,muskmelon
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean
72,51,40,23.20683504,74.09956958,7.422318499,199.4766779,jute
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,lentil
10,44,24,30.99256944,43.02151392,8.0344125,58.27600682,mothbeans
102,11,45,29.03167341,93.12603235,6.35544263,24.15591199,muskmelon
119,37,22,23.013738312635223,75.76159109462428,7.321436872355519,83.85302045524486,cotton
94,10,53,26.274918788988458,87.69347899817245,6.390310811229832,51.684473682470355,watermelon
35,142,203,21.17089176,90.23730166,5.895319002000001,123.6495149,apple
22,73,20,23.146694629902512,62.20023295174089,6.788427799370024,43.42831114430166,lentil
73,46,40,26.44743392151276,81.93454907647208,6.63346449473258,162.03007763543582,jute
26,16,35,27.670714799657485,95.06894497625022,6.341589578157224,178.02392943956204,coconut
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,mothbeans
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,blackgram
13,57,23,26.367231250828176,57.753984013101324,6.459962230017214,35.20705946842305,mothbeans
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,papaya
61,60,54,45.50981995701124,92.53696468470761,6.691158293245084,195.01195050222782,papaya
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,mango
