iter	RMSE
0	15.81433817
1	15.30531206
2	14.72094009
3	14.25770509
4	13.87475062
5	13.49551924
6	13.02973234
7	12.62843869
8	12.15561122
9	11.83170888
10	11.49141206
11	11.13808811
12	10.77314516
13	10.44244304
14	10.21635099
15	9.932198066
16	9.710068226
17	9.353904174
18	9.023256201
19	8.761845512
20	8.520780676
21	8.303753313
22	8.047917395
23	7.804017829
24	7.656802138
25	7.412958437
26	7.214742767
27	7.015022827
28	6.855438615
29	6.722724719
30	6.539123881
31	6.400990477
32	6.214921827
33	6.087408015
34	5.937278465
35	5.840513338
36	5.667833507
37	5.527302905
38	5.41781534
39	5.287989748
40	5.171787362
41	5.069865569
42	4.947468134
43	4.816624073
44	4.723208848
45	4.626388089
46	4.532613763
47	4.450807038
48	4.356225247
49	4.261677214
50	4.197504494
51	4.11573587
52	4.048887016
53	3.983726803
54	3.920068979
55	3.841796461
56	3.764492734
57	3.68946185
58	3.615855198
59	3.554823674
60	3.494853492
61	3.426695181
62	3.37628053
63	3.306121877
64	3.262610935
65	3.207065627
66	3.139229767
67	3.086976447
68	3.03152073
69	2.966592047
70	2.931031726
71	2.877945008
72	2.814963081
73	2.781108842
74	2.737059515
75	2.685184235
76	2.636288933
77	2.600409715
78	2.566103516
79	2.533423752
80	2.498487811
81	2.467258843
82	2.420130484
83	2.384170431
84	2.340976541
85	2.316563799
86	2.276231999
87	2.239825578
88	2.205021348
89	2.17816935
90	2.147329048
91	2.119022515
92	2.081295284
93	2.051377398
94	2.030984074
95	1.995077492
96	1.968092685
97	1.929309135
98	1.912438397
99	1.883031226
100	1.856433957
101	1.83111291
102	1.809810989
103	1.787077941
104	1.767398144
105	1.745669798
106	1.730336886
107	1.705149165
108	1.685089575
109	1.658145607
110	1.642786902
111	1.626821882
112	1.602239459
113	1.585615297
114	1.567206334
115	1.55453699
116	1.538257947
117	1.521842741
118	1.499881533
119	1.490727991
120	1.472027262
121	1.459374428
122	1.446432561
123	1.43201743
124	1.411108118
125	1.392871064
126	1.375009191
127	1.357117713
128	1.340299246
129	1.326772088
130	1.311688341
131	1.296439727
132	1.281299596
133	1.264626455
134	1.253906967
