N,P,K,pH,Rainfall(mm),Temperature(°C),Humidity(%),SoilType,Region,Season,Crop,SoilOrganicCarbon(%),Altitude(m),IrrigationAvailability,WindSpeed(km/h),SoilMoisture(%),WaterTableDepth(m),HistoricalYield(t/ha)
110,77,43,7.31,162.8,37.6,42.8,Chalky,Punjab,Rabi,Cotton,2.68,198.0,Yes,20.1,7.4,26.3,8.99
24,14,73,5.71,252.9,34.4,53.1,Clay,Tamil Nadu,Kharif,Bajra,1.43,1477.0,Yes,3.2,30.2,11.5,3.83
89,74,167,4.44,137.2,29.8,88.4,Sandy,West Bengal,Kharif,Bajra,0.31,1046.0,Yes,20.6,15.1,14.1,5.1
99,89,95,5.18,271.6,24.4,78.7,Clay,Tamil Nadu,Rabi,Sugarcane,0.89,2062.0,No,9.0,25.1,5.6,1.86
19,18,65,4.69,229.8,38.5,50.9,Sandy,Punjab,Kharif,Maize,0.62,1439.0,No,20.5,42.3,2.3,9.01
11,70,190,8.28,70.3,33.1,69.4,Loamy,Tamil Nadu,Kharif,Jowar,2.92,954.0,No,18.7,25.7,19.5,3.56
100,118,200,7.75,268.8,25.4,48.7,Sandy,West Bengal,Kharif,Jowar,1.74,2362.0,No,2.1,22.1,27.5,1.15
74,138,171,8.23,235.8,33.9,66.9,Sandy,Maharashtra,Rabi,Sugarcane,1.13,1590.0,No,10.6,42.3,15.7,1.01
89,100,5,7.46,86.0,38.5,49.7,Silty,Tamil Nadu,Zaid,Jowar,2.9,2278.0,Yes,28.1,48.1,27.0,5.42
43,79,63,4.21,249.3,21.6,70.6,Sandy,Tamil Nadu,Kharif,Sugarcane,2.45,1732.0,Yes,24.4,19.8,18.9,8.53
104,123,28,7.77,264.6,28.3,84.2,Peaty,Punjab,Zaid,Pulses,1.11,2256.0,Yes,15.2,34.0,26.1,5.6
134,43,98,5.16,243.4,20.1,59.6,Clay,West Bengal,Kharif,Wheat,0.72,302.0,Yes,24.1,10.4,3.1,9.14
13,132,106,7.47,187.7,22.1,75.6,Peaty,West Bengal,Zaid,Maize,0.24,2870.0,Yes,24.3,37.7,18.7,1.34
23,116,92,6.97,243.5,32.4,79.0,Clay,West Bengal,Rabi,Pulses,1.28,2680.0,Yes,17.9,32.8,25.4,3.69
99,57,187,6.62,134.4,25.3,73.2,Chalky,Bihar,Rabi,Rice,0.63,493.0,No,20.3,26.4,23.3,2.33
135,143,129,7.94,213.8,25.0,50.8,Chalky,Andhra Pradesh,Zaid,Sugarcane,2.71,2208.0,No,19.5,8.0,28.4,7.19
64,31,62,5.07,260.4,33.7,88.9,Clay,Punjab,Kharif,Maize,1.47,760.0,No,27.9,27.2,7.2,1.1
125,126,60,6.64,151.6,28.0,62.6,Silty,Gujarat,Zaid,Jowar,1.05,2726.0,No,4.2,8.9,17.7,8.52
54,85,193,5.24,104.9,33.2,74.9,Clay,Tamil Nadu,Rabi,Sugarcane,0.79,690.0,No,17.2,35.9,5.0,4.28
120,49,111,4.22,161.7,39.0,43.0,Clay,Tamil Nadu,Zaid,Maize,1.86,410.0,No,24.1,29.3,23.7,2.44
96,66,182,6.25,66.4,39.2,88.1,Chalky,Punjab,Kharif,Sugarcane,1.62,2519.0,Yes,15.5,20.7,5.1,9.31
